years,Austria_trend_Climate-related_economic_losses_EUR_per_capita,EU_trend_Climate-related_economic_losses_EUR_per_capita,Belgium_trend_Climate-related_economic_losses_EUR_per_capita,Bulgaria_trend_Climate-related_economic_losses_EUR_per_capita,Cyprus_trend_Climate-related_economic_losses_EUR_per_capita,Czechia_trend_Climate-related_economic_losses_EUR_per_capita,Germany_trend_Climate-related_economic_losses_EUR_per_capita,Denmark_trend_Climate-related_economic_losses_EUR_per_capita,Estonia_trend_Climate-related_economic_losses_EUR_per_capita,Greece_trend_Climate-related_economic_losses_EUR_per_capita,Spain_trend_Climate-related_economic_losses_EUR_per_capita,Finland_trend_Climate-related_economic_losses_EUR_per_capita,France_trend_Climate-related_economic_losses_EUR_per_capita,Croatia_trend_Climate-related_economic_losses_EUR_per_capita,Hungary_trend_Climate-related_economic_losses_EUR_per_capita,Ireland_trend_Climate-related_economic_losses_EUR_per_capita,Iceland_trend_Climate-related_economic_losses_EUR_per_capita,Italy_trend_Climate-related_economic_losses_EUR_per_capita,Liechtenstein_trend_Climate-related_economic_losses_EUR_per_capita,Lithuania_trend_Climate-related_economic_losses_EUR_per_capita,Luxembourg_trend_Climate-related_economic_losses_EUR_per_capita,Latvia_trend_Climate-related_economic_losses_EUR_per_capita,Malta_trend_Climate-related_economic_losses_EUR_per_capita,Netherlands_trend_Climate-related_economic_losses_EUR_per_capita,Norway_trend_Climate-related_economic_losses_EUR_per_capita,Poland_trend_Climate-related_economic_losses_EUR_per_capita,Portugal_trend_Climate-related_economic_losses_EUR_per_capita,Romania_trend_Climate-related_economic_losses_EUR_per_capita,Sweden_trend_Climate-related_economic_losses_EUR_per_capita,Slovenia_trend_Climate-related_economic_losses_EUR_per_capita,Slovakia_trend_Climate-related_economic_losses_EUR_per_capita,Turkiye_trend_Climate-related_economic_losses_EUR_per_capita
2011,92.1273700514,36.3205514475,11.3061256734,35.654369266,23.5050494723,71.3313379232,64.3189173892,19.710722705,23.579237916,31.4725960137,18.2659550004,9.1495009903,37.0455945638,33.2950339266,16.8877467263,16.7245840906,0.9403976001,30.4852946682,0.0,13.6388479301,6.3663916257,26.1687451965,5.2850567423,8.1830344729,10.5994482634,12.5816880348,93.5159260284,34.6543754648,28.4785621829,61.2808675578,18.1350567133,2.0896310527
2012,45.0652912915,26.9014753662,11.1641990786,35.9025487388,23.1496217931,19.9794782217,30.5175615051,19.6366960848,23.6637897143,31.2991992493,18.6282465407,9.2353653169,36.0505509686,37.5023834276,16.7836617252,14.479730877,1.8708140536,22.5378968462,0.0,13.5887164119,6.2153213321,26.4953529904,5.237746055,5.3596063065,11.337884295,12.5974813865,93.895829553,34.9585590014,28.2581606732,89.4923532892,17.9747720745,2.08444664
2013,51.8996681888,25.6808922633,11.1027404951,36.104039647,21.695270779,39.9742369229,46.3025852432,35.5480707513,22.2307031048,18.3398203646,16.231215564,9.1929136609,28.5352386707,17.6755063786,9.4510487227,16.8691833758,1.8532017148,11.1996643487,0.0,13.7269334267,6.0733215548,26.7806525436,0.2347599697,6.9624489539,14.9420537705,11.0961573384,55.8844328289,29.1187419663,29.1655152364,78.6425709713,13.0047827675,2.057844904
2014,51.4839306951,27.6417853729,17.824871441,52.8797450919,21.9353809484,40.1031908972,48.1844843022,36.8921630733,22.2890810128,15.2124235466,16.2367831144,9.1183540382,32.5883372026,35.410238233,9.7603316607,33.5355773401,1.8326990158,14.0041461353,0.0,13.8454702293,5.9318484539,27.0340488579,0.2301188794,6.5757454725,15.6893829206,10.2941894128,40.80352564,31.7997221254,30.764915002,143.3573555515,2.6205794101,2.0289735348
2015,40.7048770297,25.6558006289,17.0566486515,33.7420317189,22.0606277959,40.024429979,49.1451408114,36.6324663943,4.2572374938,15.4238799181,10.7008676444,6.277909551,28.407950247,40.3042495555,8.8489030002,38.4733420574,1.8137025226,19.0398307067,0.0,12.0485660485,5.7934986412,0.0,0.22469234,5.9858595579,15.8616753977,10.3010518603,22.494525045,33.3474366883,3.3166020116,139.3242941347,2.6180901549,1.9944136219
2016,31.9343713187,26.9932294605,18.1530614604,33.965494649,46.6202656063,34.3260083064,52.1684205971,36.3477019069,4.2559982976,15.4974433394,9.9647057523,6.2416940431,31.0757263972,40.6237020488,8.3553910562,38.0414839333,0.8943503886,22.6794778831,0.0,0.0,15.4635455505,0.0,0.2196083943,12.0667182061,17.8430912181,10.3028470807,25.2386045667,32.8337850665,3.2651136214,135.6388877321,1.1600505119,1.5262753601
2017,40.545305372,31.5732227546,14.100903038,34.1579720707,46.1886241026,38.6429181048,51.2092127416,34.3626517351,4.2508486516,2.8917645985,9.8791163593,5.682422651,39.6036822369,45.1347784049,8.6636998943,43.7451688942,0.8736167734,44.4854047153,0.0,20.1527151541,15.0921628075,25.2284981115,0.2136756702,8.2363879534,19.8409389634,10.2251949752,47.2995932157,33.2334203647,3.2214130907,128.001130475,1.1398668047,2.2736130717
2018,37.7918903196,35.5985880881,15.8921100749,34.4055127396,24.4808451753,39.5204934596,59.86072238,35.6943377181,4.2360797503,3.5871073585,14.490011636,5.6748904229,43.6982160431,53.7294023032,8.7565280121,43.2065639461,0.8505305893,52.8220296794,0.0,20.345930796,14.8038490007,31.6525648437,0.2063429833,7.869252486,21.0846707666,12.305545132,49.1257044317,30.969545501,4.0981939053,120.6426172215,1.1382890891,2.2565570487
2019,36.8133947153,39.7306841021,18.3132009978,34.6485494558,23.8108196364,37.7066062461,68.0334394627,35.5667338903,4.2203696139,5.4842652885,21.084192993,5.6686406093,47.352643685,54.0420131166,8.9037708083,37.6950108829,0.8320321275,61.6399907442,0.0,20.3998587041,39.8386454215,31.8733926144,5.5548722181,8.0888451539,22.5322257576,12.0214484344,54.6068091006,31.1331281675,5.506432749,129.3343899712,1.7417939047,1.0123585241
2020,39.3972589466,37.9312352067,17.8184466682,34.9436798161,23.5424425396,31.1464220221,62.7446530713,34.5199886683,0.0,16.0581773371,23.4917051184,4.6839313846,46.4473669197,41.6083967919,2.3794508166,41.5213919415,0.8186365336,65.2098742622,2.5706280044,20.394399054,37.1181706135,32.0976779698,5.4333905133,11.151563799,22.8460955762,2.7098290275,40.3997987391,26.0105630604,6.1139087851,115.8665327891,1.2640078171,1.4031354441
2021,48.7505467129,50.4801243891,113.2382115095,35.2586597086,23.9905104203,38.2741982217,108.2298615086,19.3111074041,0.0,22.4047083192,29.2244394347,2.7612259627,52.6781769942,42.6401440244,2.4202125441,35.0475366986,0.8053258885,62.0920511064,2.5521923332,20.3510448119,65.3059694031,32.3695005015,5.206967308,15.3367549868,19.7103721673,2.8002133355,40.176297027,26.3726829836,6.5189354914,115.5554417078,2.0010107858,2.2389305385
2022,50.5206290172,61.8890064058,119.5183990699,37.0146029307,23.6659680093,37.9493555075,120.4062364984,19.2273909176,0.0,22.8899780605,51.7011125434,2.6277396436,62.8384493855,48.2549395841,27.2801446895,34.1483245252,0.0,89.8690128848,2.5320942952,20.1649998464,64.0021558621,32.457460773,5.0798572372,19.6260297875,19.8089580836,2.8276535486,51.423172071,32.3332511921,6.4747193676,95.593151004,3.5715916338,2.4982374364
2023,43.2775233605,66.4026206209,119.2711926941,38.5009391003,23.406245045,18.1240094617,104.5268056609,6.7933960119,0.2919098641,60.015829956,65.7939505555,2.6146548539,64.4510464999,52.1725917046,27.3764499562,35.9861330922,0.0,115.4025932529,2.5094102886,36.1124605401,62.7222664046,33.3964510279,5.2465232738,18.5376646581,22.9364696027,2.8701988939,44.1664128421,32.3303695762,6.2733518642,563.7453365094,3.3721903021,2.594755301
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
